,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
44,AEGISCHEM,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1,EQ,355.9,356.45,343.5,347.05,344.0,354.65,278573,97409210.85,15-DEC-2022,12112,INE208C01025
45,AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10,EQ,888.9,894.95,885.0,887.1,886.15,889.55,16417,14578207.5,15-DEC-2022,1727,INE0BWX01014
46,AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2,EQ,1160.0,1161.25,1132.0,1138.85,1132.0,1161.3,248105,284792571.45,15-DEC-2022,19817,INE00WC01027
47,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10,EQ,623.9,628.0,614.15,616.25,614.3,622.05,20327,12612741.0,15-DEC-2022,2752,INE204E01012
48,AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2,EQ,312.9,321.0,312.1,317.5,318.0,313.75,129504,41177595.45,15-DEC-2022,5601,INE415A01038
49,AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10,EQ,105.05,108.1,102.5,103.35,103.9,104.85,17077,1795613.15,15-DEC-2022,587,INE449G01018
50,AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10,EQ,37.8,45.25,37.8,42.85,42.75,38.0,642205,27080928.45,15-DEC-2022,3513,INE740V01019
51,AGSTRA,AGS Transact Technologies Limited,EQ,31-JAN-2022,10,1,INE583L01014,10,EQ,70.05,70.75,70.0,70.2,70.15,70.35,141495,9946259.65,15-DEC-2022,2915,INE583L01014
52,AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10,EQ,118.0,118.05,114.9,115.2,116.5,112.45,59116,6933512.05,15-DEC-2022,517,INE00PV01013
53,AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10,EQ,124.0,124.5,118.55,119.35,119.0,122.05,5583,669983.95,15-DEC-2022,167,INE926K01017
54,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2,EQ,516.0,519.7,492.1,495.95,497.0,518.3,97438,49469061.65,15-DEC-2022,7134,INE758C01029
55,AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2,EQ,2735.0,2764.25,2690.0,2706.55,2706.6,2751.4,16375,44679523.0,15-DEC-2022,3611,INE212H01026
56,AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2,EQ,18.2,18.2,17.8,17.9,18.0,17.95,156612,2812234.05,15-DEC-2022,480,INE645W01026
57,AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10,EQ,89.0,89.3,86.8,87.85,87.7,88.55,19326,1697477.6,15-DEC-2022,314,INE801L01010
58,AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2,EQ,1206.1,1210.65,1183.0,1189.3,1185.3,1205.6,29804,35729741.5,15-DEC-2022,6191,INE031B01049
59,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10,EQ,321.0,335.9,319.1,321.45,320.1,319.7,78334,25447676.35,15-DEC-2022,3481,INE298G01027
60,AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2,EQ,7.15,7.3,7.0,7.05,7.05,7.05,1316281,9359142.1,15-DEC-2022,1455,INE820Y01021
61,AJRINFRA,AJR INFRA AND TOLLING LIMITED,EQ,03-APR-2008,2,1,INE181G01025,2,EQ,1.5,1.55,1.5,1.5,1.55,1.5,468195,714160.25,15-DEC-2022,374,INE181G01025
62,AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10,EQ,33.15,33.7,32.7,32.85,33.0,32.85,11291,372002.3,15-DEC-2022,150,INE737W01013
63,AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10,EQ,71.0,74.0,70.9,73.05,73.3,72.55,202476,14709870.35,15-DEC-2022,552,INE00Y801016
64,AKSHAR,Akshar Spintex Limited,BE,23-MAY-2022,10,1,INE256Z01017,10,BE,75.05,75.05,75.05,75.05,75.05,78.95,9278,696313.9,15-DEC-2022,80,INE256Z01017
65,AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10,EQ,281.25,290.75,279.3,282.1,281.2,285.05,10321,2938475.0,15-DEC-2022,1020,INE542B01011
66,AKSHOPTFBR,Aksh Optifibre Limited,EQ,18-AUG-2000,5,1,INE523B01011,5,EQ,10.5,10.65,10.35,10.35,10.4,10.45,297260,3121151.15,15-DEC-2022,507,INE523B01011
